Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
116000,0.9836311,0.00019999949,120.959145,687.304120121331,687.3041219316348,365.17241379310343,180.206,0.037699405
117000,0.99371487,0.00019999949,118.438324,1415.4477907547584,1415.4477947345206,716.5076923076923,241.72562,0.03732991
118000,1.0000871,0.00019999949,120.73326,629.4251641806434,629.4251677770071,345.61764705882354,281.8712,0.030153798
119000,1.0047351,0.00019999949,123.647316,717.7963019878633,717.796294001692,390.5483870967742,308.14926,0.030102018
120000,1.0020914,0.00019999949,125.662,730.6667432376316,730.6667401267874,383.85714285714283,235.28409,0.034069154
121000,1.0210706,0.00019999949,123.77408,1549.3584922598857,1549.3584852344607,793.7058823529412,344.2832,0.035764806
122000,1.0285358,0.00019999949,124.74527,745.5049876408143,745.5049874381713,404.969696969697,292.13507,0.030676126
123000,1.0270402,0.00019999949,124.6242,665.8680464186167,665.8680430364244,357.89473684210526,332.80954,0.0378577
124000,1.0433817,0.00019999949,125.68096,470.25912330150607,470.25912467717,257.7142857142857,219.03578,0.033550624
125000,1.0303982,0.00019999949,125.79583,1586.4436861636505,1586.4436890085312,803.188679245283,225.43091,0.03124968
126000,1.0246682,0.00019999949,127.3747,672.7245795695405,672.7245805162753,358.94736842105266,242.33469,0.036927294
127000,1.0245748,0.00019999947,126.998955,551.8914872988274,551.89148750688,306.7894736842105,339.64383,0.03464237
128000,1.0008888,0.00019999946,128.44714,752.1600354330408,752.1600345644399,399.52777777777777,303.75952,0.034667302
129000,0.98994315,0.00019999946,129.54877,1395.6333691841617,1395.6333729082378,706.8518518518518,300.56854,0.0327008
130000,1.0290862,0.00019999946,130.1155,642.8582919902271,642.8582917276773,360.1388888888889,201.04233,0.04051595
131000,1.0503144,0.00019999946,128.68675,855.5321556651279,855.532159306975,459.63157894736844,569.9757,0.033743612
132000,1.070668,0.00019999946,130.80302,549.1802157560984,549.1802153433446,303.5952380952381,469.7309,0.03106746
133000,1.0708842,0.00019999946,134.20432,1480.8413233742597,1480.8413216991194,747.6938775510204,266.68146,0.036576852
134000,1.0371836,0.00019999946,132.85649,467.8706320489154,467.8706302432504,267.94117647058823,307.76147,0.03446041
135000,1.0273787,0.00019999946,132.55435,692.1733545405524,692.1733550569645,371.5952380952381,310.03107,0.034348056
136000,1.0218047,0.00019999946,133.59468,473.3028165628744,473.3028157107955,265.74418604651163,314.726,0.038943708
137000,1.0242053,0.00019999946,136.9803,1483.2377765343108,1483.2377689155132,746.1206896551724,272.54175,0.034846768
138000,1.0325688,0.00019999946,136.62985,552.3152742876727,552.3152716848339,304.3235294117647,221.34128,0.034046564
139000,1.0562851,0.00019999944,135.62193,547.4865995783073,547.4865995831412,293.7692307692308,293.2682,0.037663493
140000,1.049883,0.00019999943,139.40985,550.0278485198816,550.027853311152,297.93333333333334,286.89136,0.038180895
141000,1.0275784,0.00019999943,138.49382,1899.9102111957511,1899.910212574643,949.5102040816327,194.12811,0.032482855
142000,1.0373355,0.00019999943,142.34937,758.5465356847819,758.5465310949777,392.7647058823529,243.85309,0.035819236
143000,1.0363867,0.00019999943,138.2375,468.6229063304695,468.622906557564,265.64864864864865,365.7312,0.035585314
144000,1.0072212,0.00019999943,140.04288,749.540235593915,749.5402352936012,408.75,308.06027,0.03412394
145000,0.99613,0.00019999943,139.46971,1464.6241634686787,1464.624161419077,737.4,431.4839,0.034170285
146000,0.9854439,0.00019999943,137.10944,660.2288185365317,660.2288214189366,360.2682926829268,513.4405,0.032622397
147000,0.98312986,0.00019999943,143.27693,701.8875823219618,701.8875784860644,374.1666666666667,249.68489,0.039402246
148000,1.0078813,0.00019999943,143.84859,518.9328562137154,518.9328562908195,285.0,253.51114,0.033056494
149000,1.0115145,0.00019999943,141.6799,1449.8591026062593,1449.8591065325647,735.8666666666667,309.92676,0.03353417
150000,0.9703818,0.00019999943,140.94502,508.29217623963075,508.29217571322636,296.79411764705884,463.69022,0.03506018
151000,0.952121,0.00019999943,141.08858,439.81591377258303,439.81591601792354,247.75,282.33572,0.036171276
152000,0.9430103,0.00019999943,144.73291,610.5186899538551,610.518688168574,317.2142857142857,268.38776,0.03112588
153000,0.9665675,0.00019999943,142.01952,1772.9490233461063,1772.9490249893886,884.074074074074,404.91513,0.03753504
154000,0.98210764,0.00019999943,145.14323,648.2162526556424,648.2162492528838,337.25714285714287,431.6818,0.0329731
155000,0.98544407,0.00019999943,145.903,751.9306443134943,751.9306440247742,404.3703703703704,260.20074,0.03955069
156000,0.9956343,0.00019999943,146.6621,865.1616841629148,865.1616828674049,462.0625,231.41425,0.035654835
157000,0.991575,0.00019999943,145.9574,1700.54721642375,1700.5472142448748,864.2,327.95438,0.03521628
158000,0.9869275,0.00019999943,144.03229,573.3906541883946,573.3906548901942,313.5,567.8623,0.03609525
159000,0.9619907,0.00019999943,144.21213,823.7589870377591,823.7589839684872,439.94736842105266,484.11276,0.03283925
160000,0.95997804,0.0001999994,147.52116,849.9130126743605,849.913018025544,449.3939393939394,384.5899,0.035120472
161000,0.96985734,0.00019999937,144.10065,1084.846968406631,1084.8469717599735,559.4677419354839,417.23712,0.03572277
162000,0.93953896,0.00019999937,146.59116,607.7383632251194,607.7383652946288,339.37142857142857,435.5666,0.034387145
163000,0.9364025,0.00019999937,148.2263,543.0925540536642,543.092554906702,287.275,426.11456,0.032322004
164000,0.9347952,0.00019999937,146.09647,630.6236735999585,630.6236751532068,344.225,457.67365,0.0349684
165000,0.919771,0.00019999937,147.43753,1571.1911037631755,1571.191108208512,773.4716981132076,398.547,0.031798825
166000,0.8946073,0.00019999937,146.66142,538.9088656177391,538.9088672998605,304.56756756756755,450.08527,0.035670884
167000,0.85862046,0.00019999937,147.49147,657.0481491573155,657.0481490094916,355.96875,632.61926,0.029616382
168000,0.8152191,0.00019999937,146.46133,537.800990451466,537.8009924298765,296.6363636363636,369.72284,0.034898866
169000,0.8268918,0.0001999993,149.49016,2130.430743824352,2130.4307467812973,1043.590909090909,245.53235,0.03449388
170000,0.891115,0.00019999927,148.10599,609.3501009912718,609.3500963000408,335.26190476190476,381.2633,0.036258966
171000,0.9189226,0.00019999927,146.99107,728.4187108675638,728.4187054934637,408.8484848484849,439.95303,0.038063332
172000,0.91753405,0.00019999925,150.06296,784.6657670525943,784.6657686236674,409.4117647058824,434.7887,0.031910203
173000,0.918276,0.00019999924,147.60066,1354.188550817339,1354.18855183938,680.1754385964912,430.7749,0.032335814
174000,0.9103995,0.00019999924,147.17227,594.3110586032271,594.311061665747,329.72222222222223,480.31836,0.03626251
175000,0.9165482,0.00019999924,149.49423,576.8875561919477,576.8875557545612,322.52777777777777,533.7693,0.035223994
176000,0.9010922,0.00019999924,151.77687,707.7807911826718,707.7807895112053,376.0,387.68292,0.038754858
177000,0.94967186,0.00019999924,148.38867,1526.326903693378,1526.3269118474652,763.75,460.83115,0.033053286
178000,0.9238783,0.00019999924,149.2026,761.6131694800144,761.6131729992607,390.6756756756757,458.31586,0.035439163
179000,0.91825056,0.00019999924,150.61418,520.4353768681035,520.4353750683034,293.0,335.7303,0.03334471
180000,0.92418206,0.00019999924,149.66321,750.2998689638601,750.2998674397362,409.7837837837838,424.84253,0.03670458
181000,0.90469253,0.00019999924,149.82155,1321.0026060188638,1321.0026045086054,663.3448275862069,455.60693,0.034174204
182000,0.9204724,0.00019999924,150.66864,518.83502034739,518.835022151814,269.7674418604651,309.28326,0.03461255
183000,0.9161809,0.00019999924,154.91187,801.5937766144352,801.5937717695788,410.83870967741933,359.2728,0.034350496
184000,0.9132643,0.00019999922,153.03503,704.8820446133614,704.8820458733089,361.5952380952381,436.90735,0.035673313
185000,0.9118454,0.00019999921,154.38371,1725.2427380292313,1725.2427455239128,863.6739130434783,292.9559,0.03847
186000,0.86792034,0.00019999921,152.35182,730.4314460290802,730.4314514993572,374.02777777777777,629.68744,0.03704927
187000,0.9111428,0.00019999921,154.64961,544.3914010729109,544.391401645514,294.8,326.1853,0.03517562
188000,0.9261929,0.00019999921,153.47676,932.7549119179065,932.7549153216258,488.12820512820514,409.05408,0.036078036
189000,0.9632694,0.00019999921,151.76106,1264.4949201993775,1264.4949194905082,631.7719298245614,465.47144,0.031056672
190000,0.9602351,0.00019999921,156.49338,672.5451629326261,672.5451593551193,361.13793103448273,367.78342,0.0313973
191000,0.96013856,0.00019999921,153.91019,712.9290834086282,712.9290870768334,378.9428571428571,304.82623,0.03585376
192000,0.9553001,0.00019999921,157.10136,792.3567288943699,792.3567337001931,418.85714285714283,311.54224,0.03841733
193000,0.93329954,0.00019999921,152.84502,1380.597321718458,1380.597323478975,682.6507936507936,358.91638,0.035594553
194000,0.96060574,0.00019999921,153.5019,870.187903034687,870.1879067717275,453.725,432.44073,0.033941075
195000,0.9547069,0.00019999921,152.16365,430.2437454053649,430.2437488318211,238.5185185185185,517.5414,0.03440535
196000,0.93613976,0.00019999921,156.41437,896.362067372371,896.3620675155704,440.15384615384613,762.329,0.03564563
197000,0.9483378,0.00019999921,153.91296,1082.977395061861,1082.9773968242691,550.9473684210526,494.3858,0.036673196
198000,0.9422449,0.00019999921,155.4238,494.5244730169123,494.5244700474008,279.90909090909093,383.71143,0.03538768
199000,0.9633899,0.0001999992,156.69873,981.7416835842711,981.741679168618,517.7575757575758,489.03323,0.02889285
200000,0.945598,0.00019999918,150.80801,588.7422651000645,588.7422654071614,336.7826086956522,577.5305,0.033308093
201000,0.9407215,0.00019999918,157.33852,1232.491249888551,1232.491249560222,628.7647058823529,494.4072,0.03676814
202000,0.94608265,0.00019999918,157.54333,769.2530731984547,769.2530713304855,375.57142857142856,434.73764,0.03371732
203000,0.95724607,0.00019999918,154.95018,811.1498887353473,811.1498891180973,418.3333333333333,507.01447,0.03487525
204000,0.9549997,0.00019999918,155.23737,909.6072475115458,909.6072432052167,453.6666666666667,611.5649,0.032046344
205000,0.9727962,0.00019999918,153.01933,828.7273818790912,828.7273833356736,431.73333333333335,551.21674,0.033767715
206000,0.9610199,0.00019999918,157.78264,519.35039755404,519.3503994772148,274.65,577.031,0.03283135
207000,0.9816467,0.00019999918,158.43762,651.376108540429,651.376103588284,342.44444444444446,451.34406,0.034921546
